# BEGIN PLOT
LegendOnly=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR0.5_muF0.5.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR2_muF2.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/wjets-13TeV.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
DrawOnly=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR0.5_muF0.5.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR2_muF2.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/wjets-13TeV.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
Title=Dijet differential cross section v.s. $\Delta y_{12}$ 
RatioPlotMode=default
RatioPlotReference=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
XLabel=$\Delta y_{12}$
YLabel=$d\sigma_{W+\geq2j}/d\Delta y_{12}$ [pb]
Legend=1
RatioPlotYMin=0.2
# END PLOT

# BEGIN HISTO1D //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
Title=HEJ $pp\rightarrow Wjj$
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.117647e-01	5.339081e+00	1.151313e-02	1.151313e-02
4.117647e-01	8.235294e-01	5.047157e+00	1.070467e-02	1.070467e-02
8.235294e-01	1.235294e+00	4.167823e+00	9.028652e-03	9.028652e-03
1.235294e+00	1.647059e+00	3.363955e+00	8.069151e-03	8.069151e-03
1.647059e+00	2.058824e+00	2.580822e+00	8.314722e-03	8.314722e-03
2.058824e+00	2.470588e+00	1.885701e+00	1.172982e-02	1.172982e-02
2.470588e+00	2.882353e+00	1.311193e+00	6.728549e-03	6.728549e-03
2.882353e+00	3.294118e+00	8.660374e-01	8.075913e-03	8.075913e-03
3.294118e+00	3.705882e+00	5.433302e-01	5.692026e-03	5.692026e-03
3.705882e+00	4.117647e+00	3.294537e-01	3.394480e-03	3.394480e-03
4.117647e+00	4.529412e+00	1.893410e-01	4.137286e-03	4.137286e-03
4.529412e+00	4.941176e+00	1.061595e-01	3.520237e-03	3.520237e-03
4.941176e+00	5.352941e+00	5.472728e-02	1.627883e-03	1.627883e-03
5.352941e+00	5.764706e+00	2.497973e-02	1.026274e-03	1.026274e-03
5.764706e+00	6.176471e+00	1.129818e-02	1.292988e-03	1.292988e-03
6.176471e+00	6.588235e+00	4.720056e-03	3.976288e-04	3.976288e-04
6.588235e+00	7.000000e+00	1.856632e-03	2.191069e-04	2.191069e-04
# END HISTO1D


# BEGIN HISTO1D //mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR0.5_muF0.5.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//mt/home/hhassan/Projects/HEJ_PYTHIA/pythia_merging/results/WJETS-ATLAS-SM/res/HEJ_W_muR0.5_muF0.5.yoda/WJETS_ATLAS_SM/h_dy_jet12_2j
Title=HEJ\_W\_muR0.5\_muF0.5
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.117647e-01	6.823647e+00	1.542803e-02	1.542803e-02
4.117647e-01	8.235294e-01	6.450133e+00	1.489469e-02	1.489469e-02
8.235294e-01	1.235294e+00	5.294027e+00	1.243926e-02	1.243926e-02
1.235294e+00	1.647059e+00	4.264056e+00	1.113147e-02	1.113147e-02
1.647059e+00	2.058824e+00	3.275881e+00	1.174175e-02	1.174175e-02
2.058824e+00	2.470588e+00	2.405023e+00	1.756099e-02	1.756099e-02
2.470588e+00	2.882353e+00	1.682736e+00	9.599884e-03	9.599884e-03
2.882353e+00	3.294118e+00	1.121727e+00	1.373193e-02	1.373193e-02
3.294118e+00	3.705882e+00	7.131886e-01	9.596952e-03	9.596952e-03
3.705882e+00	4.117647e+00	4.347970e-01	5.297780e-03	5.297780e-03
4.117647e+00	4.529412e+00	2.543895e-01	6.406767e-03	6.406767e-03
